iter	RMSE
0	79383.13149
1	77832.94893
2	76126.49155
3	74640.21174
4	73081.22387
5	71641.94357
6	70173.96952
7	68799.52645
8	67481.47765
9	66224.32506
10	64831.85048
11	63551.59342
12	62282.2218
13	61114.69416
14	60015.03397
15	58889.16562
16	57743.38373
17	56631.107
18	55557.60159
19	54681.78124
20	53647.68379
21	52782.79593
22	51881.20845
23	50947.05713
24	50176.06172
25	49443.56042
26	48728.32197
27	47897.87257
28	47164.0158
29	46397.4292
30	45650.15257
31	44911.93437
32	44144.74493
33	43473.34418
34	42906.46921
35	42201.38965
36	41599.32886
37	40920.63352
38	40420.58185
39	40010.02401
40	39456.92779
41	38936.85705
42	38387.8062
43	37900.36703
44	37381.76816
45	37018.58362
46	36470.60631
47	36042.49352
48	35641.2757
49	35171.50138
50	34689.60008
51	34313.13089
52	33933.26048
53	33563.61032
54	33154.89715
55	32716.46343
56	32292.16389
57	31933.81357
58	31578.75186
59	31272.81049
60	30918.00888
61	30537.04793
62	30232.97286
63	29966.57063
64	29689.32065
65	29418.8201
66	29151.91219
67	28936.05394
68	28706.08524
69	28460.74614
70	28189.58336
71	27967.5661
72	27770.21353
73	27515.42073
74	27256.04751
75	27034.03979
76	26818.67768
77	26606.87297
78	26395.82427
79	26219.37932
80	26057.03815
81	25893.55211
82	25681.79854
83	25550.63641
84	25419.52144
85	25237.7916
86	25049.45278
87	24850.10257
88	24691.20464
89	24548.26738
90	24422.93166
91	24255.25319
92	24087.95445
93	23958.50235
94	23822.18661
95	23669.21112
96	23542.10288
97	23378.06941
98	23247.99335
99	23100.79909
100	22958.46181
101	22827.53687
102	22715.13752
103	22622.18828
104	22501.71651
105	22373.45213
106	22308.74514
107	22210.17242
108	22120.81385
109	22034.86246
110	21937.83864
111	21833.07692
112	21702.86207
113	21592.62123
114	21487.15016
115	21383.43809
116	21286.50079
117	21175.09636
118	21094.63568
119	21002.929
120	20935.32842
121	20853.40175
122	20768.1145
123	20670.59017
124	20621.42717
125	20528.46043
126	20440.84645
127	20410.57485
128	20301.34467
129	20216.4031
130	20155.97791
131	20048.79659
132	19952.73273
133	19836.17041
134	19737.44885
135	19655.07289
136	19593.87174
137	19526.26369
138	19441.46615
139	19379.74468
140	19295.31768
141	19261.54188
142	19200.73447
143	19106.96166
144	19032.75985
145	18975.37151
146	18902.64454
147	18813.87945
148	18734.20058
149	18713.73592
150	18665.44113
151	18621.79885
152	18569.58264
153	18504.51251
154	18436.18502
155	18385.42171
156	18342.06442
157	18273.32661
158	18204.67526
159	18150.09886
160	18108.13578
161	18056.80471
162	18004.5811
163	17964.85728
164	17940.70707
165	17875.51036
166	17812.18582
167	17732.03117
168	17682.10543
169	17631.79463
170	17576.11675
171	17522.71755
172	17500.18062
173	17457.16712
174	17439.12878
175	17409.80784
176	17365.47196
177	17332.23893
178	17287.98591
179	17259.4612
180	17233.55239
181	17199.22804
182	17152.42901
183	17104.30135
184	17077.10629
185	17032.19811
186	17003.4726
187	16960.99519
188	16944.70723
189	16898.24108
190	16870.66571
191	16825.76666
192	16761.02174
193	16739.21363
194	16686.47947
195	16667.42223
196	16606.1575
197	16573.58183
198	16560.76448
199	16503.22481
200	16473.25138
201	16438.51395
202	16373.96804
203	16345.68208
204	16271.46641
205	16234.25005
206	16185.20714
207	16157.16855
208	16104.18655
209	16052.03949
210	16032.4564
211	15964.70946
212	15943.08484
213	15906.05011
214	15886.72979
215	15818.52567
216	15759.03865
217	15735.01092
218	15679.74638
219	15650.23241
220	15592.9442
221	15531.24089
222	15505.96606
223	15448.81364
224	15424.89387
225	15368.91643
226	15357.54512
227	15327.71912
228	15304.94674
229	15262.65914
230	15209.7732
231	15161.9388
232	15142.54104
233	15089.84968
234	15082.73086
235	15043.97967
236	15013.38236
237	14972.19145
238	14947.19233
239	14935.41309
240	14892.01905
241	14840.54937
242	14822.80108
243	14785.85231
244	14747.4273
245	14714.47142
246	14654.99069
247	14605.55622
248	14591.21469
249	14552.96679
250	14501.88223
251	14464.57068
252	14423.69779
253	14388.39617
254	14358.85445
255	14346.16157
256	14312.83548
257	14269.99056
258	14228.34306
259	14195.62483
260	14158.05966
261	14119.79989
262	14096.16885
263	14053.49472
264	14017.08471
265	13982.9363
266	13944.18557
267	13893.67326
268	13877.5564
269	13827.65674
270	13797.02704
271	13762.21729
272	13731.99437
273	13670.37056
274	13648.90309
275	13605.55731
276	13588.45206
277	13551.72677
278	13522.45933
279	13487.37006
280	13473.29488
281	13461.40764
282	13424.60841
283	13413.69038
284	13401.24586
285	13376.11549
286	13365.35374
287	13329.85112
288	13315.63913
289	13285.04258
290	13254.17797
291	13244.05876
292	13196.82748
293	13166.17097
294	13130.56431
295	13102.25932
296	13088.61651
297	13054.81304
298	13031.42745
299	13019.60002
300	12980.57705
301	12946.34887
302	12939.98858
303	12906.83503
304	12883.64491
305	12844.95888
306	12807.10087
307	12799.93134
308	12768.58443
309	12740.34655
310	12715.39756
311	12679.69351
312	12646.7118
313	12639.4878
314	12611.57643
315	12605.87831
316	12583.06302
317	12550.41646
318	12515.73026
319	12496.13549
320	12491.66512
321	12459.35468
322	12449.99529
323	12423.16907
324	12398.8475
325	12367.35933
326	12342.81338
327	12313.94857
328	12291.0066
329	12270.91778
330	12243.43179
331	12226.44972
332	12204.1495
333	12195.58689
334	12189.82097
335	12182.34347
336	12158.02935
337	12125.4828
338	12096.39989
339	12077.73844
340	12057.35964
341	12024.96092
342	12018.82863
343	11996.44269
344	11959.05077
345	11929.4467
346	11909.9971
347	11889.60846
348	11883.91913
349	11853.21541
350	11823.60629
351	11801.7352
352	11773.2304
353	11754.70333
354	11734.5609
355	11712.82343
356	11685.87407
357	11664.9352
358	11638.16737
359	11618.23739
360	11601.34777
361	11574.98246
362	11544.33979
363	11507.99734
364	11483.61875
365	11478.00965
366	11456.08244
367	11417.7428
368	11391.60085
